BLItemNo	ElementId	LdrawId	PartName	BLColorId	LDrawColorId	ColorName	ColorCategory	Qty	Weight
32063	4211586	32063	Technic, Liftarm 1 x 6 Thin	86	71	Light Bluish Gray	Solid Colors	2	0.8
32140	6271825	32140	Technic, Liftarm 2 x 4 L-Shape Thick	11	0	Black	Solid Colors	2	1.43
32316	4142134	32316	Technic, Liftarm 1 x 5 Thick	7	1	Blue	Solid Colors	1	1.21
32449	4199345	32449	Technic, Liftarm 1 x 4 Thin	3	14	Yellow	Solid Colors	2	0.55
40344	4144025	40344	Technic, Brick 4 x 6 Open Center	11	0	Black	Solid Colors	1	5.0
32557	4211714	32557	Technic, Pin Connector Perpendicular Double 3L	86	71	Light Bluish Gray	Solid Colors	4	0.85
3460	346026	3460	Plate 1 x 8	11	0	Black	Solid Colors	3	1.36
3623	362326	3623	Plate 1 x 3	11	0	Black	Solid Colors	4	0.53
3623	4211429	3623	Plate 1 x 3	86	71	Light Bluish Gray	Solid Colors	6	0.53
3665	4211096	3665	Slope, Inverted 45 2 x 1	85	72	Dark Bluish Gray	Solid Colors	10	0.66
3666	4211438	3666	Plate 1 x 6	86	71	Light Bluish Gray	Solid Colors	13	1.06
3701	370123	3701	Technic, Brick 1 x 4 with Holes	7	1	Blue	Solid Colors	2	1.46
3709b	4211444	3709b	Technic, Plate 2 x 4 with 3 Holes	86	71	Light Bluish Gray	Solid Colors	5	1.15
3710	6111685	3710	Plate 1 x 4	55	379	Sand Blue	Solid Colors	6	0.71
3710	4211001	3710	Plate 1 x 4	85	72	Dark Bluish Gray	Solid Colors	13	0.71
3749	4666579	3749	Technic, Axle Pin without Friction Ridges Lengthwise	2	19	Tan	Solid Colors	2	0.22
3795	4211452	3795	Plate 2 x 6	86	71	Light Bluish Gray	Solid Colors	1	1.74
3795	4550329	3795	Plate 2 x 6	69	28	Dark Tan	Solid Colors	7	1.74
3795	379528	3795	Plate 2 x 6	6	2	Green	Solid Colors	2	1.74
982	4211004	982	Arm, Right	85	72	Dark Bluish Gray	Solid Colors	1	0.15
982	381826	982	Arm, Right	11	0	Black	Solid Colors	2	0.15
982	4107684	982	Arm, Right	2	19	Tan	Solid Colors	1	0.15
981	4211005	981	Arm, Left	85	72	Dark Bluish Gray	Solid Colors	1	0.15
981		981	Arm, Left	55	379	Sand Blue	Solid Colors	1	0.15
981	381926	981	Arm, Left	11	0	Black	Solid Colors	2	0.15
983	382026	983	Hand	11	0	Black	Solid Colors	6	0.09
983		983	Hand	90	78	Light Nougat	Solid Colors	2	0.09
3832	383226	3832	Plate 2 x 10	11	0	Black	Solid Colors	2	2.91
3832	4210678	3832	Plate 2 x 10	85	72	Dark Bluish Gray	Solid Colors	2	2.91
4032	403226	4032	Plate, Round 2 x 2 with Axle Hole	11	0	Black	Solid Colors	2	0.37
40490	6102449	40490	Technic, Liftarm 1 x 9 Thick	86	71	Light Bluish Gray	Solid Colors	2	2.59
4070	4211476	4070	Brick, Modified 1 x 1 with Headlight	86	71	Light Bluish Gray	Solid Colors	8	0.36
4162	4211481	4162	Tile 1 x 8	86	71	Light Bluish Gray	Solid Colors	2	1.06
41678	4211889	41678	Technic, Axle and Pin Connector Perpendicular Double Split	86	71	Light Bluish Gray	Solid Colors	1	0.83
4274	4274194	4274	Technic, Pin 1/2	86	71	Light Bluish Gray	Solid Colors	2	0.095
4282	428226	4282	Plate 2 x 16	11	0	Black	Solid Colors	6	4.5
4282	4211486	4282	Plate 2 x 16	86	71	Light Bluish Gray	Solid Colors	6	4.5
43722	4211791	43722	Wedge, Plate 3 x 2 Right	86	71	Light Bluish Gray	Solid Colors	3	0.64
43722	4180508	43722	Wedge, Plate 3 x 2 Right	11	0	Black	Solid Colors	1	0.64
43723	4180536	43723	Wedge, Plate 3 x 2 Left	11	0	Black	Solid Colors	1	0.64
43723	4211794	43723	Wedge, Plate 3 x 2 Left	86	71	Light Bluish Gray	Solid Colors	3	0.64
44375b	4211796	44375b	Dish 6 x 6 Inverted (Radar) - Solid Studs	86	71	Light Bluish Gray	Solid Colors	1	2.68
4477	447726	4477	Plate 1 x 10	11	0	Black	Solid Colors	2	1.61
48336	6146321	48336	Plate, Modified 1 x 2 with Handle on Side - Closed Ends	85	72	Dark Bluish Gray	Solid Colors	1	0.54
50950	4624088	50950	Slope, Curved 3 x 1 No Studs	2	19	Tan	Solid Colors	2	0.75
50950	4246896	50950	Slope, Curved 3 x 1 No Studs	85	72	Dark Bluish Gray	Solid Colors	8	0.75
52501	4294180	52501	Slope, Inverted 45 6 x 1 Double with 1 x 4 Cutout	85	72	Dark Bluish Gray	Solid Colors	1	1.25
54200	4521921	54200	Slope 30 1 x 1 x 2/3	86	71	Light Bluish Gray	Solid Colors	8	0.21
54383	4282786	54383	Wedge, Plate 6 x 3 Right	86	71	Light Bluish Gray	Solid Colors	5	1.5
54383	4283046	54383	Wedge, Plate 6 x 3 Right	11	0	Black	Solid Colors	5	1.5
54384	4283047	54384	Wedge, Plate 6 x 3 Left	11	0	Black	Solid Colors	5	1.5
54384	4282789	54384	Wedge, Plate 6 x 3 Left	86	71	Light Bluish Gray	Solid Colors	5	1.5
58176	6171764	58176	Light Cover with Internal Bar / Bionicle Barraki Eye	98	57	Trans-Orange	Transparent Colors	2	0.22
58247	4498713	58247	Minifig, Weapon Gun, Blaster Short (SW)	11	0	Black	Solid Colors	2	0.34
60219	4549997	60219	Slope, Inverted 45 6 x 4 Double with 4 x 4 Cutout and 3 Holes	86	71	Light Bluish Gray	Solid Colors	2	4.2
60478	4521187	60478	Plate, Modified 1 x 2 with Handle on End - Closed Ends	85	72	Dark Bluish Gray	Solid Colors	2	0.55
60479	4514846	60479	Plate 1 x 12	86	71	Light Bluish Gray	Solid Colors	4	1.95
60483	6265089	60483	Technic, Liftarm 1 x 2 Thick with Pin Hole and Axle Hole	86	71	Light Bluish Gray	Solid Colors	2	0.46
6081	4260409	6081	Brick, Modified 2 x 4 x 1 1/3 with Curved Top	86	71	Light Bluish Gray	Solid Colors	1	2.78
6091	4210797	6091	Brick, Modified 1 x 2 x 1 1/3 with Curved Top	85	72	Dark Bluish Gray	Solid Colors	4	0.65
6091	6285778	6091	Brick, Modified 1 x 2 x 1 1/3 with Curved Top	86	71	Light Bluish Gray	Solid Colors	2	0.65
61409	6092111	61409	Slope 18 2 x 1 x 2/3 with 4 Slots	86	71	Light Bluish Gray	Solid Colors	4	0.3
4073	4633691	4073	Plate, Round 1 x 1 Straight Side	95	179	Flat Silver	Pearl Colors	13	0.12
4073	614123	4073	Plate, Round 1 x 1 Straight Side	7	1	Blue	Solid Colors	3	0.12
6179	617926	6179	Tile, Modified 4 x 4 with Studs on Edge	11	0	Black	Solid Colors	6	1.94
6180	4211838	6180	Tile, Modified 4 x 6 with Studs on Edges	86	71	Light Bluish Gray	Solid Colors	1	2.95
6190	4210676	6190	Bar 1 x 3 (Radio Handle, Phone Handset)	85	72	Dark Bluish Gray	Solid Colors	2	0.38
62462	6245499	62462	Technic, Pin Connector Round 2L with Slot (Pin Joiner Round)	95	179	Flat Silver	Pearl Colors	1	0.42
63864	4558169	63864	Tile 1 x 3	86	71	Light Bluish Gray	Solid Colors	2	0.39
64644	4538456	64644	Minifig, Utensil Telescope	11	0	Black	Solid Colors	2	0.22
6536	6536199	6536	Technic, Axle and Pin Connector Perpendicular	85	72	Dark Bluish Gray	Solid Colors	1	0.39
6541	654124	6541	Technic, Brick 1 x 1 with Hole	3	14	Yellow	Solid Colors	4	0.38
6558	4514553	6558	Technic, Pin 3L with Friction Ridges Lengthwise	7	1	Blue	Solid Colors	11	0.31
6632	4211566	6632	Technic, Liftarm 1 x 3 Thin	86	71	Light Bluish Gray	Solid Colors	4	0.45
6636	4211549	6636	Tile 1 x 6	86	71	Light Bluish Gray	Solid Colors	2	0.83
6942	6139805	6942	Dish 5 x 5 Scala	85	72	Dark Bluish Gray	Solid Colors	1	2.51
85984	4548180	85984	Slope 30 1 x 2 x 2/3	11	0	Black	Solid Colors	2	0.34
87079	4560182	87079	Tile 2 x 4	11	0	Black	Solid Colors	14	0.9
87552	4593679	87552	Panel 1 x 2 x 2 with Side Supports - Hollow Studs	86	71	Light Bluish Gray	Solid Colors	2	1.05
87620	4651063	87620	Brick, Modified Facet 2 x 2	86	71	Light Bluish Gray	Solid Colors	4	1.0
87994	6093525	87994	Bar   3L (Bar Arrow)	11	0	Black	Solid Colors	2	0.2
92280	4598528	92280	Plate, Modified 1 x 2 with Clip on Top	11	0	Black	Solid Colors	6	0.4
92584	4599461	92584	Wedge, Plate 10 x 10 Cut Corner with no Studs in Center	11	0	Black	Solid Colors	4	8.5
92593	4599498	92593	Plate, Modified 1 x 4 with 2 Studs	86	71	Light Bluish Gray	Solid Colors	2	0.61
92946	6139519	92946	Slope 45 2 x 1 with 2/3 Cutout	55	379	Sand Blue	Solid Colors	4	0.42
92946	6069164	92946	Slope 45 2 x 1 with 2/3 Cutout	85	72	Dark Bluish Gray	Solid Colors	4	0.42
93095	6115086	93095	Panel 1 x 2 x 1 with Rounded Corners and Center Divider	11	0	Black	Solid Colors	1	0.49
93273	4622803	93273	Slope, Curved 4 x 1 Double No Studs	86	71	Light Bluish Gray	Solid Colors	2	0.6
93604	6157781	93604	Wedge 3 x 4 x 2/3 Triple Curved	86	71	Light Bluish Gray	Solid Colors	1	1.55
95199	4623236	95199	Minifig, Weapon Gun, Two Barrel Pistol	85	72	Dark Bluish Gray	Solid Colors	1	0.41
96874	6240515	96874	Human Tool, Brick and Axle Separator	4	25	Orange	Solid Colors	1	3.93
99563	6134378	99563	Minifig, Utensil Gold Ingot (Bar)	86	71	Light Bluish Gray	Solid Colors	3	0.22
98285	6038385	98285	Hinge Plate 2 x 4 with Pin Hole and 3 Holes - Bottom	11	0	Black	Solid Colors	4	1.25
98286	6256117	98286	Hinge Plate 2 x 4 with Pin Hole and 3 Holes - Top	86	71	Light Bluish Gray	Solid Colors	4	1.162
99780	6057458	99780	Bracket 1 x 2 - 1 x 2 Inverted	3	14	Yellow	Solid Colors	1	0.55
99781	6016172	99781	Bracket 1 x 2 - 1 x 2	11	0	Black	Solid Colors	5	0.55
		box4.dat	Box with 4 Faces (2 Parallel Pairs) and All Edges		16	CurrentColor	Solid Colors	28	
		box5.dat	Box with 5 Faces and All Edges		16	CurrentColor	Solid Colors	28	
		sticker.dat	Sticker file		16	CurrentColor	Solid Colors	28	
		stud4.dat	Stud Tube Open		16	CurrentColor	Solid Colors	28	
									
Total qty	Total Weight								
559	576.088 +a								
